acacia_leaves; [nether_wart_block>1],
projectvibrantjourneys:pink_sakura_sapling; [crimson_fungus>1],
projectvibrantjourneys:prairie_grass; [crimson_roots>1],
projectvibrantjourneys:purple_maple_fallen_leaves; [infernalexp:warped_nylium_carpet>1],
projectvibrantjourneys:purple_maple_leaves; [warped_wart_block>1],
projectvibrantjourneys:purple_maple_sapling; [warped_fungus>1],
projectvibrantjourneys:red_maple_fallen_leaves; [infernalexp:warped_nylium_carpet>1],
projectvibrantjourneys:red_maple_leaves; [warped_wart_block>1],
projectvibrantjourneys:red_maple_sapling; [warped_fungus>1],
projectvibrantjourneys:red_sandstone_rocks; [air>1],
projectvibrantjourneys:redwood_leaves; [nether_wart_block>1],
projectvibrantjourneys:redwood_log; [crimson_stem>1],
projectvibrantjourneys:redwood_sapling; [crimson_fungus>1],
projectvibrantjourneys:rocks; [air>1],
projectvibrantjourneys:sakura_log; [crimson_stem>1],
projectvibrantjourneys:sandstone_rocks; [air>1],
projectvibrantjourneys:sea_oats; [twisting_vines>1],
projectvibrantjourneys:seashells; [air>1],
projectvibrantjourneys:short_grass; [crimson_roots>1],
projectvibrantjourneys:tamarack_leaves; [nether_wart_block>1],
projectvibrantjourneys:tamarack_log; [crimson_stem>1],
projectvibrantjourneys:tamarack_sapling; [crimson_fungus>1],
projectvibrantjourneys:twigs; [air>1],
projectvibrantjourneys:white_sakura_fallen_leaves; [infernalexp:crimson_nylium_carpet>1],
projectvibrantjourneys:white_sakura_leaves; [nether_wart_block>1],
projectvibrantjourneys:white_sakura_sapling; [crimson_fungus>1],
projectvibrantjourneys:willow_leaves; [warped_wart_block>1],
projectvibrantjourneys:willow_log; [warped_stem>1],
projectvibrantjourneys:willow_sapling; [warped_fungus>1],
pumpkin; [shroomlight>1],
purple_terracotta; [glowstone>1],
red_sand; [infernalexp:glowdust_sand>1],
red_sandstone; [infernalexp:glowdust_stone>1],
red_terracotta; [glowstone>1],
red_tulip; [air>1],
redstone_ore; [nether_quartz_ore>1],
rose_bush; [air>1],
sand; [soul_sand>1],
sandstone; [infernalexp:soul_stone>1],
sea_pickle; [air>1],
seagrass; [air>1],
smooth_red_sandstone; [infernalexp:trapped_glowdust_sand>1],
smooth_sandstone; [soul_stone>1],
spruce_leaves; [nether_wart_block>1],
spruce_sapling; [crimson_fungus>1],
spruce_log; [crimson_stem>1],
stone; [blackstone>1],
tall_grass; [crimson_roots>1],
tall_seagrass; [air>1],
terracotta; [glowstone>1],
tube_coral_block; [dead_tube_coral_block>1],
tube_coral_fan; [air>1],
tube_coral; [air>1],
vine; [air>1],
white_terracotta; [glowstone>1],
white_tulip; [air>1],
yellow_terracotta; [glowstone>1]
